City,Max Irradiance (W/m2),Mean Irradiance (W/m2),PV Price (USD/kW),BESS Price (USD/kWh),BESS Size (kWh),Fuel Price,Load Shedding (%),Renewable Rate (%),LCOE (USD/kWh)
"Naples,Italy",1.06424,0.21188321118721457,0,0,0,2.5,0.0,0.0,0.903
"Brussels,Belgium",1.0877999999999999,0.14542079337899544,0,0,0,1.5,0.0,0.0,0.663
"Brussels,Belgium",1.0877999999999999,0.14542079337899544,0,0,0,2.0,0.0,0.0,0.783
"Brussels,Belgium",1.0877999999999999,0.14542079337899544,0,0,0,2.5,0.0,0.0,0.903
"Minsk,Belarus",1.08141,0.14765834703196346,0,0,0,1.5,0.0,0.0,0.663
"Minsk,Belarus",1.08141,0.14765834703196346,0,0,0,2.0,0.0,0.0,0.783
"Minsk,Belarus",1.08141,0.14765834703196346,0,0,0,2.5,0.0,0.0,0.903
"Vienna,Austria",1.09416,0.17032773287671232,0,0,0,1.5,0.0,0.0,0.663
"Vienna,Austria",1.09416,0.17032773287671232,0,0,0,2.0,0.0,0.0,0.783
"Vienna,Austria",1.09416,0.17032773287671232,0,0,0,2.5,0.0,0.0,0.903
"Turin,Italy",1.12446,0.20833743264840182,0,0,0,1.5,0.0,0.0,0.663
"Turin,Italy",1.12446,0.20833743264840182,0,0,0,2.0,0.0,0.0,0.783
"Turin,Italy",1.12446,0.20833743264840182,0,0,0,2.5,0.0,0.0,0.903
"Warsaw,Poland",1.08958,0.15205515525114158,0,0,0,1.5,0.0,0.0,0.663
"Warsaw,Poland",1.08958,0.15205515525114158,0,0,0,2.0,0.0,0.0,0.783
"Warsaw,Poland",1.08958,0.15205515525114158,0,0,0,2.5,0.0,0.0,0.903
"Lyon,France",1.12646,0.18920854680365295,0,0,0,1.5,0.0,0.0,0.663
"Lyon,France",1.12646,0.18920854680365295,0,0,0,2.0,0.0,0.0,0.783
"Lyon,France",1.12646,0.18920854680365295,0,0,0,2.5,0.0,0.0,0.903
"Hamburg,Germany",1.07121,0.14165776598173518,0,0,0,1.5,0.0,0.0,0.663
"Hamburg,Germany",1.07121,0.14165776598173518,0,0,0,2.0,0.0,0.0,0.783
"Hamburg,Germany",1.07121,0.14165776598173518,0,0,0,2.5,0.0,0.0,0.903
"Budapest,Hungary",1.09011,0.18108444634703197,0,0,0,1.5,0.0,0.0,0.663
"Budapest,Hungary",1.09011,0.18108444634703197,0,0,0,2.0,0.0,0.0,0.783
"Budapest,Hungary",1.09011,0.18108444634703197,0,0,0,2.5,0.0,0.0,0.903
"Stockholm,Sweden",1.08206,0.14048974657534247,0,0,0,1.5,0.0,0.0,0.663
"Stockholm,Sweden",1.08206,0.14048974657534247,0,0,0,2.0,0.0,0.0,0.783
"Stockholm,Sweden",1.08206,0.14048974657534247,0,0,0,2.5,0.0,0.0,0.903
"Prague,Czech Republic",1.10158,0.1580073675799087,0,0,0,1.5,0.0,0.0,0.663
"Prague,Czech Republic",1.10158,0.1580073675799087,0,0,0,2.0,0.0,0.0,0.783
"Prague,Czech Republic",1.10158,0.1580073675799087,0,0,0,2.5,0.0,0.0,0.903
"Sofia,Bulgaria",1.12416,0.189417997716895,0,0,0,1.5,0.0,0.0,0.663
"Sofia,Bulgaria",1.12416,0.189417997716895,0,0,0,2.0,0.0,0.0,0.783
"Sofia,Bulgaria",1.12416,0.189417997716895,0,0,0,2.5,0.0,0.0,0.903
"Cologne,Germany",1.1018299999999999,0.14966543036529684,0,0,0,1.5,0.0,0.0,0.663
"Cologne,Germany",1.1018299999999999,0.14966543036529684,0,0,0,2.0,0.0,0.0,0.783
